sample_idx,condition,attack_type,deletion_auc,insertion_auc,score,ecs,ecs_nr_proxy,stability,spectral_alignment,faithfulness_preservation
8,C9_opus6,bonafide,0.5594155284391532,0.5297580297733031,1.0,0.27570031947539964,0.1609036535024643,0.18363378942012787,0.06510448157787323,0.609051530779955
8,N1_awgn20,bonafide,0.5439594576377009,0.5308304329604604,1.0,0.8009698803262633,0.49600266218185424,0.8457353711128235,0.5424302816390991,0.9998221579646802
8,N2_awgn10,bonafide,0.5499747860151669,0.5403232476168044,1.0,0.7970228117240803,0.47926096618175507,0.8325371146202087,0.5525307059288025,0.9941625136578538
9,C0_clean,bonafide,0.5343478597343974,0.543849886799654,1.0,0.8375834323330825,0.4274281352758408,1.0,0.46249109506607056,0.9961203460442044
9,C8_opus16,bonafide,0.5439477435963046,0.5428773655487877,1.0,0.8308190250509173,0.4381660223007202,0.9087343811988831,0.5634711384773254,0.9942797700938883
9,C9_opus6,bonafide,0.5526460723768362,0.5191376746532488,1.0,0.2638654335206365,0.16356939166784287,0.17926234006881714,0.07316740304231643,0.5673675886013825
9,N1_awgn20,bonafide,0.5445059264809863,0.538583287389747,1.0,0.7909744658316081,0.49582692980766296,0.8599916696548462,0.4962044060230255,0.9937215872092067
9,N2_awgn10,bonafide,0.5436428915108575,0.5436897883343187,1.0,0.7892451531275707,0.523424381017685,0.8211058974266052,0.5414246916770935,0.9945846221793354
10,C0_clean,bonafide,0.5431283367388251,0.5357142122179186,1.0,0.8903820665334423,0.4274281352758408,1.0,0.636058509349823,0.9985483790949852
10,C8_opus16,bonafide,0.5442376744522384,0.5370573736973484,1.0,0.7966775758998079,0.4381659954786301,0.9087343811988831,0.4465070366859436,0.9974390413815719
10,C9_opus6,bonafide,0.5561268565354157,0.5269541856099147,1.0,0.26372891549785943,0.1627920061349869,0.1626240760087967,0.08036277294158935,0.5819015107062132
10,N1_awgn20,bonafide,0.5484052936240192,0.5351118536546855,1.0,0.796105734056965,0.46681267321109776,0.8411281108856201,0.5389102101325989,0.993271422209791
10,N2_awgn10,bonafide,0.5409406382040735,0.5400450814095682,1.0,0.7657990157594645,0.529229885339737,0.8247267603874207,0.45376378297805786,0.9992639223702632
