sample_idx,condition,deletion_auc,insertion_auc,score,ecs,stability,spectral_alignment,faithfulness_preservation
4,N1_awgn20,0.37270223498344424,0.3740342378616333,0.374834269285202,0.8701938880846001,0.9527066349983215,0.6304629260848289,0.9999078541994095
5,N1_awgn20,0.372676281630993,0.37409421652555463,0.3747093975543976,0.8661767109454924,0.9404819011688232,0.6333576160077433,0.9999222189188003
6,N1_awgn20,0.37265264540910714,0.3742948159575462,0.3746732771396637,0.8692450833793771,0.9475285410881042,0.6342309198367239,0.9998813033103942
7,N1_awgn20,0.3728062748908996,0.37412531375885005,0.3746267855167389,0.8710146915371592,0.9548414945602417,0.6304315177782951,0.9998287945985795
8,N1_awgn20,0.37255493849515914,0.37411990612745283,0.37457650899887085,0.8663429723843352,0.936669647693634,0.6389485662726615,0.9999684780836107
9,N1_awgn20,0.3726538270711899,0.3741595357656479,0.374674528837204,0.8682522267722059,0.9457715749740601,0.6332058034416596,0.9999395191669465
10,N1_awgn20,0.372706763446331,0.37391478270292283,0.37459760904312134,0.8622763232685249,0.9259672164916992,0.639747666748736,0.9998837888240815
11,N1_awgn20,0.3727005079388619,0.37394106239080427,0.3745710253715515,0.8726200808316558,0.9515712857246399,0.6400722120305196,0.9998996764421463
12,N1_awgn20,0.3726303979754448,0.3742131605744362,0.3746175169944763,0.8726544959284268,0.951217532157898,0.6405866993590867,0.9999715775251388
13,N1_awgn20,0.3726029559969902,0.37412943691015244,0.3746783435344696,0.8702078693059417,0.9496004581451416,0.634601949303459,0.9999570041894913
14,N1_awgn20,0.37268165349960336,0.3741726011037827,0.37452250719070435,0.8728271571777394,0.9523457288742065,0.6396897468242813,0.9999398052692414
15,N1_awgn20,0.37269029766321177,0.37440920919179926,0.37490788102149963,0.8711444377485382,0.951158881187439,0.6356636105588633,0.9999393403530121
16,N1_awgn20,0.37254932671785357,0.3740810468792915,0.3745311200618744,0.8681532196063604,0.9466123580932617,0.6318887504798855,0.9998055040836334
17,N1_awgn20,0.3726138144731522,0.37396263480186465,0.37459662556648254,0.8718944442131351,0.9520562291145325,0.6370162377285393,0.9998902708292008
18,N1_awgn20,0.37255274206399924,0.3739532724022866,0.3738577961921692,0.8659384778221448,0.9369242787361145,0.6372982879744635,0.9999309331178665
19,N1_awgn20,0.37270303517580033,0.37416018992662436,0.3744618892669678,0.874866902408764,0.9603410959243774,0.6358059044605001,0.9999623090028764
0,N2_awgn10,0.3726377561688423,0.3740770921111107,0.3748185336589813,0.8308914034645699,0.8467567563056946,0.6406509406304831,0.9999780625104904
1,N2_awgn10,0.3725684076547623,0.3741522967815399,0.37474122643470764,0.8487450082210134,0.8982199430465698,0.6315490249486204,0.9999744117259979
2,N2_awgn10,0.37274056673049927,0.3740386784076691,0.37477314472198486,0.845835583510776,0.8861436247825623,0.6379700481983676,0.9999570637941361
3,N2_awgn10,0.37260190546512606,0.37392458021640773,0.37463778257369995,0.8498277380166205,0.9017266035079956,0.6306019144249466,0.9998550742864609
4,N2_awgn10,0.37267121374607093,0.3741447508335114,0.3748956322669983,0.8546575091878874,0.9112852811813354,0.6339344894224745,0.9998768329620362
5,N2_awgn10,0.3726478680968284,0.3741104736924171,0.37502509355545044,0.8492778076599492,0.8910347819328308,0.6429290171697578,0.9999506324529648
6,N2_awgn10,0.3726157650351525,0.3742267861962318,0.37481722235679626,0.8452719899595293,0.8879384398460388,0.63381095713394,0.9998444229364396
7,N2_awgn10,0.37278900146484373,0.3740970939397812,0.3747512102127075,0.8380458247795184,0.8682626485824585,0.6359564831304815,0.9998460680246354
8,N2_awgn10,0.3726486936211586,0.3740994825959206,0.3746049404144287,0.8501427673800636,0.893047571182251,0.6432044067329328,0.9998747229576112
9,N2_awgn10,0.3726595044136047,0.3740299433469773,0.37432900071144104,0.8412854955203473,0.8756017684936523,0.6368707639002597,0.9999451965093612
10,N2_awgn10,0.37277012318372726,0.37391522973775865,0.37471115589141846,0.8403552797166739,0.873274564743042,0.6369977503115051,0.9998204290866852
11,N2_awgn10,0.37265968471765526,0.37406202107667924,0.37473064661026,0.8539570291333372,0.9096125960350037,0.6337661360677661,0.999940499663353
12,N2_awgn10,0.3725881680846215,0.37414702922105786,0.3748471438884735,0.8480759370336781,0.8964295983314514,0.6317509780360097,0.9999293476343155
13,N2_awgn10,0.3726927652955055,0.3739669427275658,0.3748737573623657,0.8475210435934928,0.8947163224220276,0.6322478538579629,0.9998671948909761
14,N2_awgn10,0.37267064154148105,0.3741157203912735,0.3746902346611023,0.8450144621166757,0.8881806135177612,0.6325452623874517,0.9999287933111192
15,N2_awgn10,0.37278173118829727,0.3743172064423561,0.37520790100097656,0.8323460571530654,0.8611226677894592,0.6264753932963456,0.9998479068279267
16,N2_awgn10,0.37258232980966566,0.3741685673594475,0.37471139430999756,0.8564370599540057,0.9105687737464905,0.6408599943425862,0.9998385071754455
17,N2_awgn10,0.3727540224790573,0.3741062104701996,0.3747110664844513,0.8530002926921246,0.9083005785942078,0.6322973496832444,0.999969521164894
18,N2_awgn10,0.37251953333616256,0.3738163426518441,0.3746718168258667,0.8346567232335564,0.8599057793617249,0.6357503139061919,0.9998977243900298
19,N2_awgn10,0.3726770803332329,0.3741506144404412,0.3747076094150543,0.8431161354369694,0.883084237575531,0.6330051138622146,0.9999363541603089
