sample_idx,condition,deletion_auc,insertion_auc,score,ecs,stability,spectral_alignment,faithfulness_preservation
11,C8_opus16,0.5421560764312744,0.5396090626716614,0.5419508814811707,0.8530246553361642,0.9020686149597168,0.6422501377066732,0.9984072268009185
12,C8_opus16,0.5437005519866943,0.5390389144420623,0.540472149848938,0.8370813314643921,0.861566960811615,0.6416945909551188,0.9998205661773683
13,C8_opus16,0.5436453700065613,0.5399842202663422,0.5403235554695129,0.8445421617177997,0.8770544528961182,0.645938664326361,0.999795937538147
14,C8_opus16,0.5423686653375626,0.5393054574728011,0.5404648184776306,0.852409165167021,0.8997084498405457,0.6429661620431715,0.9987864553928376
15,C8_opus16,0.5438368141651154,0.5400567471981048,0.5404172539710999,0.8576014454249313,0.9099855422973633,0.6459362848214871,0.9994211435317993
16,C8_opus16,0.5437587440013886,0.5397606551647186,0.5403528809547424,0.8548068681260365,0.9025408625602722,0.6459950595764375,0.999973350763321
17,C8_opus16,0.5439719676971436,0.5400117695331573,0.5404291152954102,0.8449305489538124,0.8812711834907532,0.6417986938946811,0.9996082246303557
18,C8_opus16,0.5432129561901092,0.5404774487018585,0.5422185063362122,0.8594520120965157,0.9127762317657471,0.6481945452248765,0.9996105194091797
19,C8_opus16,0.5433959692716598,0.539651396870613,0.5405376553535461,0.8558228537045935,0.9048663377761841,0.6466414738373688,0.999612921476364
0,C9_opus6,0.5455391108989716,0.5384519815444947,0.5,0.29948592782020567,0.0,0.0,0.9982864260673523
1,C9_opus6,0.5455227345228195,0.538164159655571,0.5,0.29931798219680783,0.0,0.0,0.9977266073226928
2,C9_opus6,0.5456136137247085,0.5398815780878067,0.5,0.29936727583408357,0.0,0.0,0.9978909194469453
3,C9_opus6,0.545608839392662,0.5398041158914566,0.5,0.29940584242343904,0.0,0.0,0.9980194747447968
4,C9_opus6,0.5455328434705734,0.5383485287427902,0.5,0.29935792744159695,0.0,0.0,0.9978597581386566
5,C9_opus6,0.5456102818250657,0.5398190647363662,0.5,0.29933127701282497,0.0,0.0,0.9977709233760833
6,C9_opus6,0.5455104887485505,0.5379365861415862,0.5,0.2992943197488785,0.0,0.0,0.9976477324962616
7,C9_opus6,0.5455386698246002,0.5384647786617279,0.5,0.29927292466163635,0.0,0.0,0.9975764155387878
8,C9_opus6,0.5455957114696502,0.5395431339740754,0.5,0.2993188762664795,0.0,0.0,0.9977295875549317
9,C9_opus6,0.5455990582704544,0.5396172553300858,0.5,0.29954360067844393,0.0,0.0,0.9984786689281464
10,C9_opus6,0.5456108927726746,0.539827162027359,0.5,0.29931679666042327,0.0,0.0,0.9977226555347443
11,C9_opus6,0.5455138027668,0.5379891335964203,0.5,0.2994705140590668,0.0,0.0,0.9982350468635559
12,C9_opus6,0.5455294847488403,0.5382742941379547,0.5,0.29939749002456667,0.0,0.0,0.9979916334152222
13,C9_opus6,0.5455313146114349,0.5383182346820831,0.5,0.29949543535709383,0.0,0.0,0.9983181178569794
14,C9_opus6,0.5455352872610092,0.538388392329216,0.5,0.2994140768051147,0.0,0.0,0.9980469226837158
15,C9_opus6,0.5456007540225982,0.5396372437477112,0.5,0.29929716110229493,0.0,0.0,0.9976572036743165
16,C9_opus6,0.5455930471420288,0.5394837915897369,0.5,0.29945770382881165,0.0,0.0,0.9981923460960388
17,C9_opus6,0.5456071615219116,0.5397587597370147,0.5,0.2993919092416763,0.0,0.0,0.9979730308055877
18,C9_opus6,0.5456217229366302,0.5400228559970855,0.5,0.29939421415328976,0.0,0.0,0.9979807138442993
19,C9_opus6,0.54554223716259,0.5385159105062485,0.5,0.2994722431898117,0.0,0.0,0.9982408106327058
0,N1_awgn20,0.5432076871395111,0.540013349056244,0.5396373271942139,0.8680247846535387,0.9407511353492737,0.6396989515395773,0.9993821501731872
1,N1_awgn20,0.543213227391243,0.5396487146615981,0.5376257300376892,0.8690274823762556,0.9459608197212219,0.6355132960801587,0.9999638855457307
2,N1_awgn20,0.544057908654213,0.5402780205011368,0.5394338369369507,0.8755022052434684,0.9593817591667175,0.6397183807384971,0.9994466245174408
3,N1_awgn20,0.5434245139360429,0.5402513712644577,0.5378705263137817,0.8745700259824911,0.9629948735237122,0.6314440554447701,0.999796199798584
